Workbook,Worksheet,Cell,ParameterName,DisplayedValue,RawValue,Formula,DataType,Units,Comment,ValidationRule,FormulaError,NamedRange,ExternalLink
Calc_10006_023.xls,Sheet1,$B$173,T2BHD_Coil_Hole_Array_Qty,13.000,13.0,='Excel Calcs'!H29,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$174,T2Hole_X_Loc,2.000,2.0,='Excel Calcs'!H30,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$175,T2Hole1_Array_Qty,16.000,16.0,='Excel Calcs'!H31,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$176,T2Hole1_Array_Dist,5.226,5.226314,='Excel Calcs'!H32,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$177,T3BHD_Width,83.395,83.39471,='Excel Calcs'!H35,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$178,T3BHD_Coil_Hole_Array_Qty,14.000,14.0,='Excel Calcs'!H36,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$179,T3Hole_X_Loc,2.000,2.0,='Excel Calcs'!H37,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$180,T3Hole1_Array_Qty,16.000,16.0,='Excel Calcs'!H38,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$181,T3Hole1_Array_Dist,5.293,5.292980666666667,='Excel Calcs'!H39,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$182,B1BHD_Width,83,83.0,='Excel Calcs'!H42,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$183,B1BHD_Height,1.60501,1.60501,='Excel Calcs'!H43,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$184,B1BHD_Flg,0.75,0.75,='Excel Calcs'!H44,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$185,B1BHD_Y_Hole_Loc,0.375,0.375,='Excel Calcs'!H45,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$186,B1BHD_Thk,0.10501,0.10501,='Excel Calcs'!H46,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$187,B1BHD_Hole1_Loc_Y,1.000,1.0,='Excel Calcs'!H48,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$188,B1BHD_Hole1_Array_Qty_Y,2.000,2.0,='Excel Calcs'!H49,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$189,B1BHD_Hole1_Array_Dist_Y,0.000,0.0,='Excel Calcs'!H50,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$190,B1Hole_X_Loc,2.000,2.0,='Excel Calcs'!H51,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$191,B1BHD_Hole1_Qty,16.000,16.0,='Excel Calcs'!H52,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$192,B1BHD_Hole1_Dist,5.267,5.266666666666667,='Excel Calcs'!H53,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$193,B1BHD_Hole1_Clr_Dia,0.312,0.312,='Excel Calcs'!H54,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$194,B1BHD_Hole1_Eng_Dia,0.203,0.203,='Excel Calcs'!H55,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$195,B2BHD_Width,82.500,82.5,='Excel Calcs'!H59,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$196,B2Hole_X_Loc,2.000,2.0,='Excel Calcs'!H60,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$197,B2Hole1_Array_Qty,16.000,16.0,='Excel Calcs'!H61,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$198,B2Hole1_Array_Dist,5.233,5.233333333333333,='Excel Calcs'!H62,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$199,Coil_Att_Hole_Start,0.500,0.5,='Excel Calcs'!H63,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$200,B3BHD_Width,83.500,83.5,='Excel Calcs'!H66,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$201,B3Hole_X_Loc,2.000,2.0,='Excel Calcs'!H67,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$202,B3Hole1_Array_Qty,16.000,16.0,='Excel Calcs'!H68,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$203,B3Hole1_Array_Dist,5.300,5.3,='Excel Calcs'!H69,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$204,R3BHD_Height,37.750,37.75,='Excel Calcs'!H75,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$205,R3BHD_Y_Hole1_ArrayQty,8.000,8.0,='Excel Calcs'!H76,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$206,R3BHD_Y_Hole1_ArrayDist,4.836,4.83643,='Excel Calcs'!H77,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$207,R4BHD_Height,37.750,37.75,='Excel Calcs'!H80,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$208,R4BHD_Y_Hole1_ArrayQty,8.000,8.0,='Excel Calcs'!H81,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$209,R4BHD_Y_Hole1_ArrayDist,4.836,4.83643,='Excel Calcs'!H82,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$210,R5BHD_Height,40.895,40.89499000000001,='Excel Calcs'!H85,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$211,R5BHD_Y_Hole1_ArrayQty,8.000,8.0,='Excel Calcs'!H86,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$212,R5BHD_Y_Hole1_ArrayDist,5.286,5.2857142857142865,='Excel Calcs'!H87,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$213,B7BHD_Height,-0.105,-0.10501,='Excel Calcs'!H102,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$214,B7BHD_Access_Hole_Dist,0.633,0.6333333333333333,='Excel Calcs'!H103,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$215,B7BHD_Hole1_Qty,17.000,17.0,='Excel Calcs'!H104,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$216,B8BHD_Access_Hole_Dist,0.613,0.6131570000000002,='Excel Calcs'!H105,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$217,B8BHD_Hole1_Qty,17.000,17.0,='Excel Calcs'!H106,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$218,B9BHD_Access_Hole_Dist,0.646,0.6464903333333334,='Excel Calcs'!H107,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$219,B9BHD_Hole1_Qty,17.000,17.0,='Excel Calcs'!H108,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$220,T6BHD_Width,88.690,88.69,='Excel Calcs'!K4,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$221,T6BHD_Height,3.895,3.894990000000007,='Excel Calcs'!K5,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$222,T6BHD_Flg1Size,1.500,1.5,='Excel Calcs'!K6,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$223,T6BHD_Flg2Size,0.750,0.75,='Excel Calcs'!K7,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$224,T6BHD_Clr_Hole_Dia,0.218,0.218,='Excel Calcs'!K8,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$225,T6BHD_Eng_Hole_Dia,0.203,0.203,='Excel Calcs'!K9,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$226,T6BHD_X_Coil_Last_Hole_Loc,2.750,2.75,='Excel Calcs'!K12,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$227,T6BHD_X_Hole1_Loc,2.000,2.0,='Excel Calcs'!K13,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$228,T6BHD_X_Hole1_ArrayQty,17.000,17.0,='Excel Calcs'!K14,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$229,T6BHD_X_Hole1_ArrayDist,5.293,5.293125,='Excel Calcs'!K15,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$230,T6BHD_Y_Hole2_Loc,1.000,1.0,='Excel Calcs'!K16,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$231,T6BHD_Y_Hole2_Qty,2.000,2.0,='Excel Calcs'!K17,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$232,T6BHD_Y_Hole2_Array_Dist,1.895,1.894990000000007,='Excel Calcs'!K18,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$233,T6BHD_X_Hole3_Array_Qty,14.000,14.0,='Excel Calcs'!K19,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$234,T6BHD_X_Hole3_Array_Dist,6.000,6.0,='Excel Calcs'!K20,Number,in,,,,,No
